ANO_INOV,NATUREZA_INOV,VIA_INOV,PROJETO_INOV,UNIDADE_INOV,CIDADE_INOV
2023,PD&I,VIA NÃO INFORMADA,EXPANSÃO DA RASTREABILIDADE E AVANÇO PARA ÍNDICE MATURIDADE 4 CONTEMPLANDO EXPANSÃO DO SISTEMA DE RASTREABILIDADE DE MATERIAIS PARA TODOS OS SKUS DA FÁBRICA E APERFEIÇOAMENTO DO SISTEMA DE GERENCIAMENTO DE PERFORMANCE E DE PROCESSO DA PRENSA SACMI.,UNIDADE NÃO INFORMADA,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,"PLATAFORMA INTELIGENTE PARA 
 ASSESSORIA JURÍDICA – 7.0",UNIDADE NÃO INFORMADA,RECIFE - PE
2023,RESITEC,VIA NÃO INFORMADA,REALIZAÇÃO DE UM PROGRAMA DE RESIDÊNCIA TECNOLÓGICA DE FORMA A CONTEMPLAR APOIO NO DESENVOLVIMENTO DE PROJETO DE INOVAÇÃO TECNOLÓGICA JUNTO A 16 PROFISSIONAIS. RESIDÊNCIA DE CIÊNCIA DE DADOS,UNIDADE NÃO INFORMADA,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,DESENVOLVIMENTO DE SISTEMA DE RECOMENDAÇÃO DE HIDRÔMETRO E ANÁLISE PREDITIVA DE PERDAS EM REDES DE TELEMETRIA.,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,PARTÍCIPES PARA DESENVOLVER PROJETO PARA UTILIZAÇÃO DE SMARTCONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 4.0,UNIDADE NÃO INFORMADA,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 6.0,UNIDADE NÃO INFORMADA,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,DESENVOLVIMENTO DE UM SISTEMA AUTOMATIZADO PARA CONTROLE DE ESTOQUE E APOIO À RPA,UNIDADE NÃO INFORMADA,BELO HORIZONTE - MG
2023,PD&I,VIA NÃO INFORMADA,UTILIZAÇÃO DE SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 5.0,UNIDADE NÃO INFORMADA,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,"PLATAFORMA INTELIGENTE PARA 
 ASSESSORIA JURÍDICA – 8.0",UNIDADE NÃO INFORMADA,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,"PESQUISA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO NA CONSTRUÇÃO DE EDIFÍCIOS.",UNIDADE NÃO INFORMADA,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,REDUÇÃO DA PERDA DE BORDO NA FABRICAÇÃO DE VIDROS PLANOS,UNIDADE NÃO INFORMADA,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,CONSTRUÇÃO DO CFD DO FORNO-1 VIVIX,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO DAS VEDAÇÕES VERTICAIS DE EDIFICAÇÃO DE MÚLTIPLOS PAVIMENTOS,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 7.0,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,EXPLICABILIDADE E INTERPRETABILIDADE DE MODELOS DE APRENDIZADO DE MÁQUINA PROFUNDO PARA APLICAÇÕES EM SAÚDE,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,FORNO-1 VIVIX VIA GÊMEOS DIGITAIS,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,FORMAÇÃO DE BOLHAS NA FABRICAÇÃO DE VIDROS PLANOS,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,PLATAFORMA INTELIGENTE PARA ASSESSORIA JURÍDICA 9.0,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,UTILIZAÇÃO DE SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 6.0,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,"AGENTES DE IA PARA MODERAÇÃO, RELATORIA E ACOMPANHAMENTO DE REUNIÕES VIRTUAIS",POLI,CAMARAGIBE - PE
2023,PD&I,VIA NÃO INFORMADA,IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 8.0,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,PLATAFORMA DIGITAL PARA O DESENVOLVIMENTO DE CIDADES INTELIGENTES E SUSTENTÁVEIS,POLI,CABROBÓ - PE
2023,PD&I,VIA NÃO INFORMADA,DESENVOLVIMENTO DE UM AMBIENTE DE PESQUISA E INOVAÇÃO DE PROCESSOS DE NEGÓCIO VISION ONE.,FCAP,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,ASSESSORIA JURÍDICA 10.0,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 7.0,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,RECFACE 1,POLI,CURITIBA - PR
2023,PD&I,VIA NÃO INFORMADA,GESTÃO DE SEGURANÇA DO TRABALHO EM OBRAS DE CONSTRUÇÃO ATRAVÉS DE INDICADORES DE SEGURANÇA - ESTUDO EM CONSTRUÇÕES VERTICAIS,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,"DESENVOLVIMENTO DE SISTEMA DE GESTÃO, COMPOSTO POR UM APLICATIVO MOBILE (APP) E UM AMBIENTE WEB, INTEGRADOS, PARA PROMOVER A INTERAÇÃO ENTRE A POPULAÇÃO E O GESTOR MUNICIPAL.",POLI,VITÓRIA DE SANTO ANTÃO - PE
2023,PD&I,VIA NÃO INFORMADA,PRAZOS TRABALHISTAS 9.0,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,PROTÓTIPO ANALISADOR DE DISPOSITIVOS DE PROTEÇÃO CONTRA SURTOS (DPS),UNIDADE NÃO INFORMADA,LAGOA SANTA - MG
2023,PD&I,VIA NÃO INFORMADA,INDORAMA FIBRAS 4.0: SISTEMA AUTOMATIZADO PARA COLETA DE AMOSTRAS DE FIBRAS,POLI,CABO DE SANTO AGOSTINHO - PE
2023,PD&I,VIA NÃO INFORMADA,INDORAMA POLÍMEROS DIGITAL - FASE 1: INTELIGÊNCIA ARTIFICIAL APLICADA AO PROCESSO DE OSMOSE REVERSA.,POLI,CABO DE SANTO AGOSTINHO - PE
2023,PD&I,VIA NÃO INFORMADA,"SISTEMA DE DIGITALIZAÇÃO, RASTREABILIDADE E RECONHECIMENTO DE PADRÕES",POLI,CABO DE SANTO AGOSTINHO - PE
2023,PD&I,VIA NÃO INFORMADA,NATTO DIGITAL: OTIMIZAÇÃO DE PLANEJAMENTO DE PRODUÇÃO.,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,"AUTOMATIZAÇÃO DE ARMAZENAMENTO, ACOMPANHAMENTO E OTIMIZAÇÃO DE PROCESSOS NA PITU.",POLI,VITÓRIA DE SANTO ANTÃO - PE
2023,PD&I,VIA NÃO INFORMADA,ROCA DIGITAL - FASE 3: EXPANSÃO DA RASTREABILIDADE - 100% DOS CARROS.,POLI,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,CAPE DIGITAL: VISIBILIDADE E PERFORMANCE NA INDÚSTRIA.,POLI,IGARASSU - PE
2023,PD&I,VIA NÃO INFORMADA,"FIRMWARE-GREEN: PROTOTIPANDO UMA INFRAESTRUTURA EMBARCADA PARA COMUNICAÇÃO MULTIMEIOS ATRAVÉS DA INTEGRAÇÃO DO MÓDULO NBIOT, MÓDULO WISUN E MÓDULO LORAWAN/SIGFOX.",CARUARU,CURITIBA - PR
2023,RESITEC,VIA NÃO INFORMADA,AGRO 4.0,PETROLINA,BRASÍLIA - DF
2023,PD&I,VIA NÃO INFORMADA,ATI/TCE/UPE - 2023,POLI,RECIFE - PE
2023,RESITEC,VIA NÃO INFORMADA,SDSCJPVD /2023,MATA NORTE,RECIFE - PE
2023,SERVIÇO TECNOLÓGICO,VIA NÃO INFORMADA,SESI /2023,ESEF,RECIFE - PE
2023,INOVAÇÃO ABERTA,VIA NÃO INFORMADA,INOVAÇÃO ABERTA POLI - 2023.1,POLI,RECIFE - PE
2023,INOVAÇÃO ABERTA,VIA NÃO INFORMADA,INOVAÇÃO ABERTA POLI - 2023.2,POLI,RECIFE - PE
2023,INOVAÇÃO ABERTA,VIA NÃO INFORMADA,INOVAÇÃO ABERTA PETROLINA - 2023,PETROLINA,PETROLINA - PE
2023,INOVAÇÃO ABERTA,VIA NÃO INFORMADA,INOVAÇÃO ABERTA CARUARU - 2023,CARUARU,CARUARU - PE
2023,INOVAÇÃO ABERTA,VIA NÃO INFORMADA,INOVAÇÃO ABERTA ARCOVERDE - 2023,ARCOVERDE,ARCOVERDE - PE
2023,PD&I,VIA NÃO INFORMADA,DESENVOLVER TRABALHOS DE PESQUISA E DESENVOLVIMENTO ASSOCIADOS À TEMÁTICA DA IMPLEMENTAÇÃO DE NOVAS TOPOLOGIAS DE MICRORREDES (MRS).,POLI,FOZ DO IGUAÇU - PR
2024,PD&I,IAUPE,PLATAFORMA INTELIGENTE PARA ASSESSORIA JURÍDICA – 11.0,POLI,RECIFE - PE
2024,PD&I,IAUPE,UTILIZAÇÃO DE SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 8.0,POLI,RECIFE - PE
